*c1ccnc(N)n1,2081
*c1nc(C)cs1,2081
*C(F)F,2047
*c1ccn2nccc2n1,2014
*c1cnc2ccccn12,2000
*C1CCCN1C,1995
*c1cccc2cccnc12,1985
*c1ccn(C)n1,1971
*c1cc2ccccc2o1,1961
*c1cccc([N+](=O)[O-])c1,1950
*c1cccc(C)n1,1949
*C(=O)CC(C)C,1917
*c1ccccc1Br,1878
*c1ccccc1[SH](=O)=O,1877
*c1ccc(Cl)cn1,1876
*C(=O)C(C)N,1861
*CC(C)(C)C,1854
*C1CCOC1,1837
*CCCCCCC(=O)NO,1809
*c1cc(C)cc(C)c1,1805
*CCCCCCCC,1800
*c1ncncc1Cl,1796
*n1nccn1,1788
*c1ncc(Cl)cn1,1771
*c1ccc(N)cc1,1752
*c1ccoc1,1743
*c1ncc(F)cn1,1724
*N1CC2CNCC2C1,1723
*CCF,1721
*CC(N)C=O,1711
*C1CN2CCC1CC2,1711
*c1scnc1C,1696
*c1ncc2ccccc2n1,1694
*c1ccc(N)nc1,1686
*CCCCCCC,1672
*C1CCC(O)CC1,1670
*c1cnc(N)cn1,1649
*c1cncn1C,1646
*c1ccc(Cl)nc1,1645
*c1cc(F)ccc1F,1640
*CCCCC=O,1627
*N1CCNCC1C,1620
*c1ncncc1F,1617
*C(=O)CO,1613
*c1nc2ccccc2o1,1610
*C1CNCCN1,1599
*CC(O)CC,1596
*C1CCC2CCC1N2C,1587
*c1ccnc(C)c1,1582
*c1cccc2cncnc12,1581
*CC#C,1567
*n1ncc2ccccc21,1560
*c1c(C)cccc1C,1552
*c1cccc(C(=N)N)c1,1552
*C(C)(C)O,1545
*CCC(C)O,1535
*c1n[nH]c2ccncc12,1511
*C1(O)CCNCC1,1504
*C(O)C=O,1501
*C(=O)C(C)(C)C,1497
*c1ccnc2ccnn12,1495
*c1ccnc(C)n1,1490
*CCC#N,1483
*C1CCNC1=O,1470
*c1ccc2ncsc2c1,1464
*n1cccc1,1459
*CC(N)=O,1454
*C(=O)CCCCC,1434
*c1cc2[nH]ncc2cn1,1421
*N1CCCC1C,1418
*c1cc2ccccc2s1,1405
*c1cccc(N)c1,1405
*N1CCC(O)C1,1403
*c1c[nH]c2ncccc12,1398
*SC(=S)S,1394
*c1ccc2[nH]cnc2c1,1379
*C(C)CO,1374
*C1CCC(=O)O1,1361
*c1nsc2ccccc12,1360
*c1ncnc2sccc12,1357
*C(C)(C)C=O,1350
*C1C(=O)Nc2ccccc21,1347
*N1CCOCC1C,1342
*C(C=O)C(C)C,1339
*C(C)C(C)O,1313
*N1CCC(C)CC1,1308
*c1cccnc1N,1305
*N1CCOC1=O,1297
*n1cnc2c(N)ncnc21,1277
*C(C=O)CC,1271
*C1C2CC3CC(C2)CC1C3,1257
*c1ncc2c(n1)NCC2,1257
*c1ncnc2c1CCN2,1249
*c1cn2ccccc2n1,1237
*n1cnnc1,1223
*c1ncnc2ccnn12,1218
*c1ncn2nccc2n1,1215
*c1cnn2cncnc12,1213
*CCCCCC=O,1212
*n1cncn1,1211
*c1ccc2nccn2n1,1193
*N1Cc2ccccc2C1,1192
*c1ccc(C)nc1,1181
*N1CCc2ccccc21,1179
*CCCN,1178
*c1nnn[nH]1,1177
*c1ccn2ccnc2c1,1176
*c1cc(C)ccn1,1173
*c1ccc(O)c(O)c1,1172
*CC(N)C(=O)O,1156
*c1cncc(Cl)c1,1153
*C(C)CCC,1146
*C1CCC(N)CC1,1141
*c1cccc(Cl)c1F,1136
*C(C=O)CCC,1131
*c1cc(C)on1,1128
*c1ccc(F)cc1Cl,1115
*c1ccc(C)cc1C,1112
*N1CCC(F)C1,1110
*N1CCc2cncnc21,1100
*CC(C)(C)O,1099
*c1ncccc1Cl,1093
*n1cnnn1,1090
*c1cnc2[nH]ccc2c1,1089
*NS(N)(=O)=O,1089
*c1nc2ccccn2n1,1078
*C(=O)CC(C)(C)C,1075
*c1cccn1C,1075
*c1cc(=O)c1=O,1072
*c1ccccc1[N+](=O)[O-],1071
*CC(F)F,1071
*c1ccc2cn[nH]c2c1,1071
*CC(C)C=O,1066
*n1nccc1N,1061
*c1cn(C)cn1,1060
*C1CCCOC1,1057
*c1noc2cc(F)ccc12,1050
*c1cnc2cccnn12,1049
*c1cccc(F)c1F,1043
*n1ncccc1=O,1043
*c1ccc(I)cc1,1040
*c1ccnc2[nH]ccc12,1039
*C1COc2ccccc2O1,1038
*c1nccnc1N,1033
*c1ccc(Cl)cc1F,1032
*c1cncn2ncnc12,1032
*n1ccc2cncnc21,1031
*S(=O)(=O)c1ccc(C)cc1,1027
*C1CCCCCC1,1025
*C1CNC(=O)C1,1021
*C(=O)CCC=O,1017
*c1cc[nH]c1,1006
*c1ccc(C#N)cn1,1005
*C1COC1,1003
*N1CCCC(N)C1,999
*c1cccc2[nH]ccc12,991
*c1c(Cl)cncc1Cl,989
*c1c(C)noc1C,982
*c1cocn1,979
*C1(C#N)CC1,979
*C(CC)CC,967
*c1cnc(N)nc1N,967
*n1ncc2cncnc21,966
*C1Cc2ccccc2CN1,966
*c1cc(N)ncn1,962
*S(=O)(=O)CC,961
*c1cccc(S(C)(=O)=O)c1,958
*c1ccccc1S(N)(=O)=O,958
*c1nnc(S(N)(=O)=O)s1,956
